original_text,text,character,sentiment,confidence
cant post main account loveanddeepspacerafayel loveanddeepspace rafayelloveanddeepspace loveanddeepspaceedit rafayel fyp fyp,cant post main account loveanddeepspacerafayel loveanddeepspace rafayelloveanddeepspace loveanddeepspaceedit rafayel fyp fyp,Rafayel,NEGATIVE,0.5051100254058838
rafayel finally marrying beloved bride loveanddeepspace rafayel loveanddeepspacerafayel fyp lads,rafayel finally marrying beloved bride loveanddeepspace rafayel loveanddeepspacerafayel fyp lads,Rafayel,POSITIVE,0.9926807284355164
hes cute cant rafayel rafayelloveanddeepspace otomegame loveanddeepspace fyp,hes cute cant rafayel rafayelloveanddeepspace otomegame loveanddeepspace fyp,Rafayel,POSITIVE,0.9924875497817993
sybau betch rafayel loveanddeepspace lndsea,sybau betch rafayel loveanddeepspace lndsea,Rafayel,NEGATIVE,0.934790313243866
im crying rafayel lived loveanddeepspace rafayel lndsea,im crying rafayel lived loveanddeepspace rafayel lndsea,Rafayel,POSITIVE,0.9463005661964417
idc fake lemme enjoy rafayel rafayelloveanddeepspace loveanddeepspace loveanddeepspacerafayel loveanddeepspacerafayel,idc fake lemme enjoy rafayel rafayelloveanddeepspace loveanddeepspace loveanddeepspacerafayel loveanddeepspacerafayel,Rafayel,POSITIVE,0.9808948636054993
used dream grandeur wedding dont mind simple rafayel wanna simple wedding na loveanddeepspace rafayel rafayelloveanddeepspace,used dream grandeur wedding dont mind simple rafayel wanna simple wedding na loveanddeepspace rafayel rafayelloveanddeepspace,Rafayel,POSITIVE,0.8224952816963196
everyones invited wedding loveanddeepspace loveanddeepspaceedit rafayel rafayeledit rafayelloveanddeepspace rafayelloveanddeepspaceedit otomegame fyp fyp,everyones invited wedding loveanddeepspace loveanddeepspaceedit rafayel rafayeledit rafayelloveanddeepspace rafayelloveanddeepspaceedit otomegame fyp fyp,Rafayel,POSITIVE,0.8806192278862
finally getting married fyp otome lads loveanddeepspace rafayel otomegame rafayeledit,finally getting married fyp otome lads loveanddeepspace rafayel otomegame rafayeledit,Rafayel,POSITIVE,0.6351451873779297
rafayel actually makes feel like rabid animal scp ethanwinterses rafayeledit rafayelloveanddeepspace loveanddeepspacerafayel loveanddeepspace loveanddeepspaceedit,rafayel actually makes feel like rabid animal scp ethanwinterses rafayeledit rafayelloveanddeepspace loveanddeepspacerafayel loveanddeepspace loveanddeepspaceedit,Rafayel,NEGATIVE,0.8691641092300415
cant hold teeth also rafayel loveanddeepspace rafayelloveanddeepspace rafayeledit loveanddeepspaceedit fyp foryou,cant hold teeth also rafayel loveanddeepspace rafayelloveanddeepspace rafayeledit loveanddeepspaceedit fyp foryou,Rafayel,NEGATIVE,0.7098909020423889
beautiful fish dance rafayel loveanddeepspace kkilw,beautiful fish dance rafayel loveanddeepspace kkilw,Rafayel,POSITIVE,0.9984883069992065
rafayel mistsea lament finally another pulls got final card total pulls myth cards rafayel rafayelloveanddeepspace loveanddeepspace lnd otome fyp,rafayel mistsea lament finally another pulls got final card total pulls myth cards rafayel rafayelloveanddeepspace loveanddeepspace lnd otome fyp,Rafayel,NEGATIVE,0.7623975872993469
