original_text,text,character,sentiment,confidence
zayne im lost words loveanddeepspace lndsea zayneloveanddeepspace,zayne im lost words loveanddeepspace lndsea zayneloveanddeepspace,Zayne,NEGATIVE,0.9820829629898071
getting married monday hope see ac a1exmp3 lexx aphelia soff zy zayne zayneedit loveanddeepspacezayne loveanddeepspacezayneedit loveanddeepspace lads loveanddeepspaceedit ladsedit aftereffectsedit fyp foryoupage,getting married monday hope see ac a1exmp3 lexx aphelia soff zy zayne zayneedit loveanddeepspacezayne loveanddeepspacezayneedit loveanddeepspace lads loveanddeepspaceedit ladsedit aftereffectsedit fyp foryoupage,Zayne,POSITIVE,0.6160945892333984
zayne zayneloveanddeepspace zaynedit loveanddeepspace loveanddeepspaceedit,zayne zayneloveanddeepspace zaynedit loveanddeepspace loveanddeepspaceedit,Zayne,NEGATIVE,0.7116366624832153
raised standards im officially married zayne zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit infoldgames otome lads fyp zaynegirlies,raised standards im officially married zayne zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit infoldgames otome lads fyp zaynegirlies,Zayne,NEGATIVE,0.5187121033668518
zayne find funny hes adorable loveanddeepspace lndsea zayneloveanddeepspace,zayne find funny hes adorable loveanddeepspace lndsea zayneloveanddeepspace,Zayne,POSITIVE,0.9949713945388794
zayne eternity way song describes zayne well cursed god unable escape past bound hurt love life man lot miss already loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace zayneloveanddeepspaceedit loveandeeepspacezayne loveanddeepspacezayneedit zayneedit zaynedit zayneedits lads ladstok zaynelads ladszayne lnd lnds alexwarren alexwarrenedit eternity,zayne eternity way song describes zayne well cursed god unable escape past bound hurt love life man lot miss already loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace zayneloveanddeepspaceedit loveandeeepspacezayne loveanddeepspacezayneedit zayneedit zaynedit zayneedits lads ladstok zaynelads ladszayne lnd lnds alexwarren alexwarrenedit eternity,Zayne,NEGATIVE,0.6866205334663391
date zayne imagination hope like loveanddeepspace zaynedit lads lnd pov edit zayne,date zayne imagination hope like loveanddeepspace zaynedit lads lnd pov edit zayne,Zayne,POSITIVE,0.9887140393257141
tweaking lads lnd loveanddeepspace zayne zayneloveanddeepspace witnessedbydeepspace fyp wedding,tweaking lads lnd loveanddeepspace zayne zayneloveanddeepspace witnessedbydeepspace fyp wedding,Zayne,NEGATIVE,0.7111418843269348
love honest zayne lately fragrant possession dreamy wanted try capture feeling loveanddeepspace zayneloveanddeepspace animation fanart zayne loveanddeepspacezayne animated fragrantpossession artistsoftiktok,love honest zayne lately fragrant possession dreamy wanted try capture feeling loveanddeepspace zayneloveanddeepspace animation fanart zayne loveanddeepspacezayne animated fragrantpossession artistsoftiktok,Zayne,POSITIVE,0.9909542202949524
zayne girlies loveanddeepspace fyp lnd zayneloveanddeepspace zayne,zayne girlies loveanddeepspace fyp lnd zayneloveanddeepspace zayne,Zayne,POSITIVE,0.6182424426078796
zayne right hand tired zayne zayneloveanddeepspace loveanddeepspace lnds zaynelads edit fyp mimi222am scp jeannseditz,zayne right hand tired zayne zayneloveanddeepspace loveanddeepspace lnds zaynelads edit fyp mimi222am scp jeannseditz,Zayne,NEGATIVE,0.9948128461837769
love zayne low quality tt bbgrl zayne loveanddeepspace zaynelads zayneloveanddeepspace,love zayne low quality tt bbgrl zayne loveanddeepspace zaynelads zayneloveanddeepspace,Zayne,NEGATIVE,0.9964959025382996
