original_text,text,sentiment,confidence
miss creepy ass tears ladslyrics loveanddeepspace loveanddeepspacecharacters juneleb,miss creepy ass tears ladslyrics loveanddeepspace loveanddeepspacecharacters juneleb,POSITIVE,0.647165060043335
caleb edits coming art blue0period gutherlee twt dt autmi loveanddeepspace loveanddeepspaceedit ladsedit lnds lads calebedit edit alightmotion juneleb,caleb edits coming art blue0period gutherlee twt dt autmi loveanddeepspace loveanddeepspaceedit ladsedit lnds lads calebedit edit alightmotion juneleb,POSITIVE,0.5756011009216309
loveanddeepspacecosplay caleb cosplay,loveanddeepspacecosplay caleb cosplay,POSITIVE,0.9899508357048035
xia yizhou distant voyage card cn ver loveanddeepspace loveanddeepspacechina xiayizhouloveanddeepspace xiayizhou,xia yizhou distant voyage card cn ver loveanddeepspace loveanddeepspacechina xiayizhouloveanddeepspace xiayizhou,NEGATIVE,0.956057608127594
loveanddeepspace caleb calebloveanddeepspace xiayizhou,loveanddeepspace caleb calebloveanddeepspace xiayizhou,POSITIVE,0.9398259520530701
love deepspace shc caleb solo gameplay loveanddeepspace seniorhuntercontest shc caleb calebsolo deepspacepilot,love deepspace shc caleb solo gameplay loveanddeepspace seniorhuntercontest shc caleb calebsolo deepspacepilot,POSITIVE,0.8319689631462097
power duo colonel caleb lovely mc heehee feel cutesy recording calebloveanddeepspace calebcosplay cosplay mc loveanddeepspace lads,power duo colonel caleb lovely mc heehee feel cutesy recording calebloveanddeepspace calebcosplay cosplay mc loveanddeepspace lads,POSITIVE,0.9818490743637085
present transition barefaced unstyled cosplayers barely passing rough week working sick late night cosplaying love caleb calebcosplay loveanddeepspace lads ladscosplay cosplay cos transition fyp fyp,present transition barefaced unstyled cosplayers barely passing rough week working sick late night cosplaying love caleb calebcosplay loveanddeepspace lads ladscosplay cosplay cos transition fyp fyp,NEGATIVE,0.933064877986908
drones show caleb birthday celebration fan project non official cr xhs serafina seraph999 caleb xiayizhou loveanddeepspace loveanddeepspacecharacters loveanddeepspaceedit china droneshow drone loveanddeepspacegame loveanddeepspacecaleb lnd lads otome otomegame,drones show caleb birthday celebration fan project non official cr xhs serafina seraph999 caleb xiayizhou loveanddeepspace loveanddeepspacecharacters loveanddeepspaceedit china droneshow drone loveanddeepspacegame loveanddeepspacecaleb lnd lads otome otomegame,NEGATIVE,0.7435732483863831
astryed loveanddeepspace caleb,astryed loveanddeepspace caleb,POSITIVE,0.9767460823059082
