original_text,text,sentiment,confidence
sassy eng hate serve lethal face card loveanddeepspace sylusloveanddeepspace sylus lads syluslads lnd fyp loveanddeepspaceedit teamwork,sassy eng hate serve lethal face card loveanddeepspace sylusloveanddeepspace sylus lads syluslads lnd fyp loveanddeepspaceedit teamwork,NEGATIVE,0.9762400388717651
sylus cr,sylus cr,NEGATIVE,0.9654862284660339
sassy man apocalypse fr loveanddeepspace loveanddeepspacecosplay sylus sylusloveanddeepspace syluscosplay sylusedit cosplay qinche lads,sassy man apocalypse fr loveanddeepspace loveanddeepspacecosplay sylus sylusloveanddeepspace syluscosplay sylusedit cosplay qinche lads,NEGATIVE,0.9714590311050415
let call sylusloveanddeepspace sylusedit,let call sylusloveanddeepspace sylusedit,NEGATIVE,0.9930517673492432
loveanddeepspacesylus loveanddeepspace sylus loveanddeepspaceedit fyp syluscosplay,loveanddeepspacesylus loveanddeepspace sylus loveanddeepspaceedit fyp syluscosplay,POSITIVE,0.6505254507064819
loveanddeepspace invite real crow shoot cosplay sylus game cool handsome coser fypviral,loveanddeepspace invite real crow shoot cosplay sylus game cool handsome coser fypviral,POSITIVE,0.9403231739997864
sylus plays colours mc look time sylus loveanddeepspace fyp handsome lads otomegame,sylus plays colours mc look time sylus loveanddeepspace fyp handsome lads otomegame,NEGATIVE,0.7829239964485168
capcut,capcut,NEGATIVE,0.9986733198165894
capcut,capcut,NEGATIVE,0.9986733198165894
sylus loveanddeepspace capcut,sylus loveanddeepspace capcut,NEGATIVE,0.9885426759719849
ssshhh sylus sylusloveanddeepspace loveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters fyp cr gokaizen,ssshhh sylus sylusloveanddeepspace loveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters fyp cr gokaizen,NEGATIVE,0.8843532800674438
loveanddeepspace sylus cosplay cosplayer fyp,loveanddeepspace sylus cosplay cosplayer fyp,NEGATIVE,0.7655155062675476
sylusloveanddeepspace loveanddeepspaceedit sylus sylusedit syluscosplay fyp,sylusloveanddeepspace loveanddeepspaceedit sylus sylusedit syluscosplay fyp,NEGATIVE,0.9690631628036499
loveanddeepspace sylus sylusedit syluscosplay loveanddeepspaceedit fyp animeexpo,loveanddeepspace sylus sylusedit syluscosplay loveanddeepspaceedit fyp animeexpo,NEGATIVE,0.9231176376342773
father son loveanddeepspacesylus loveanddeepspacedit loveanddeepspace sylus sylusedit,father son loveanddeepspacesylus loveanddeepspacedit loveanddeepspace sylus sylusedit,POSITIVE,0.6604233980178833
sylus sylusloveanddeepspace loveanddeepspace,sylus sylusloveanddeepspace loveanddeepspace,NEGATIVE,0.615733802318573
happy late bday pookie sylus loveanddeepspace sylusbirthday chinaa fyp chinatiktok internationalstudent birthday hangzhou,happy late bday pookie sylus loveanddeepspace sylusbirthday chinaa fyp chinatiktok internationalstudent birthday hangzhou,POSITIVE,0.9587522149085999
saw sylus mall seemed lostloveanddeepspace cosplay cosplayer sylus foryoupage handsome foryou fyp,saw sylus mall seemed lostloveanddeepspace cosplay cosplayer sylus foryoupage handsome foryou fyp,NEGATIVE,0.9991927742958069
husband sylus qinche loveanddeepspacelove deepspace,husband sylus qinche loveanddeepspacelove deepspace,NEGATIVE,0.9195170402526855
mephisto trust loveandeepspacegame qinche sylusloveanddeepspace sylus loveanddeepspace,mephisto trust loveandeepspacegame qinche sylusloveanddeepspace sylus loveanddeepspace,POSITIVE,0.5235292315483093
195cm sylus editing loveanddeepspace sylus cosplayer handsome fyp fyp sylusedit,195cm sylus editing loveanddeepspace sylus cosplayer handsome fyp fyp sylusedit,NEGATIVE,0.9816962480545044
loveanddeepspace loveanddeepspaceedit loveanddeepspacesylus loveanddeepspacexavier xavier sylus sylusedit cosplay anime handsome fyp,loveanddeepspace loveanddeepspaceedit loveanddeepspacesylus loveanddeepspacexavier xavier sylus sylusedit cosplay anime handsome fyp,POSITIVE,0.8897031545639038
wyyyyy cre xhs rq qinche tntrit sylus loveanddeepspace,wyyyyy cre xhs rq qinche tntrit sylus loveanddeepspace,NEGATIVE,0.9825658798217773
yoonjeonghan seventeen kangminhee cravity felix leeyongbok leefelixyongbok straykids skz beomgyu choibeomgyu tomorrowxtogether txt kimheechel heechul superjunior sj suju kimjinwoo winner,yoonjeonghan seventeen kangminhee cravity felix leeyongbok leefelixyongbok straykids skz beomgyu choibeomgyu tomorrowxtogether txt kimheechel heechul superjunior sj suju kimjinwoo winner,NEGATIVE,0.8492597341537476
case forgot hot battles loveanddeepspace sylus loveanddeepspaceedit,case forgot hot battles loveanddeepspace sylus loveanddeepspaceedit,NEGATIVE,0.9769212603569031
ai,ai,NEGATIVE,0.998572587966919
want dokomi back dragonsyluscosplay sylusmyth dokomi syluscosplay ladscosplay,want dokomi back dragonsyluscosplay sylusmyth dokomi syluscosplay ladscosplay,NEGATIVE,0.995261013507843
sylus happy birthday sylus beloved dragon singer love sylusloveanddeepspace loveanddeepspace loveanddeepspaceedit qinche birthday birhtdayboy fypage foryou,sylus happy birthday sylus beloved dragon singer love sylusloveanddeepspace loveanddeepspace loveanddeepspaceedit qinche birthday birhtdayboy fypage foryou,POSITIVE,0.9821162223815918
loveanddeepspace fyp loveanddeepspaceedit sylus sylusedit,loveanddeepspace fyp loveanddeepspaceedit sylus sylusedit,NEGATIVE,0.8285804986953735
em th ly anh cho khi thy anh tht lotntnkhitontntiuhinqxxqinxiaoxian,em th ly anh cho khi thy anh tht lotntnkhitontntiuhinqxxqinxiaoxian,NEGATIVE,0.9751601815223694
