original_text,text,sentiment,confidence
happy new year guys loveanddeepspace zayneloveanddeepspace zayne lishenloveanddeepspace lishen otomegame zayneedit fyp,happy new year guys loveanddeepspace zayneloveanddeepspace zayne lishenloveanddeepspace lishen otomegame zayneedit fyp,POSITIVE,0.9940594434738159
im healer zayne zaynedit loveanddeepspace loveanddeepspaceedit dawnbreaker dawnbreakerzayne,im healer zayne zaynedit loveanddeepspace loveanddeepspaceedit dawnbreaker dawnbreakerzayne,POSITIVE,0.6698066592216492
ooc,ooc,POSITIVE,0.983847439289093
asked edit song go scp jeannseditz zaylusep loveanddeepspace zayneloveanddeepspaceedit zayneloveanddeepspace zayneedit zayne lishen otome game zvynes aftereffects ae,asked edit song go scp jeannseditz zaylusep loveanddeepspace zayneloveanddeepspaceedit zayneloveanddeepspace zayneedit zayne lishen otome game zvynes aftereffects ae,NEGATIVE,0.9857754707336426
zayne loveanddeepspace zayne fyp foryou cosplay cosplayer foryoupage loveanddeepspaceedit loveanddeepspacecharacters fyppppppppppppppppppppppp,zayne loveanddeepspace zayne fyp foryou cosplay cosplayer foryoupage loveanddeepspaceedit loveanddeepspacecharacters fyppppppppppppppppppppppp,NEGATIVE,0.9644766449928284
zayne loveanddeepspaceedit loveanddeepspace fyp zaynedit zayne,zayne loveanddeepspaceedit loveanddeepspace fyp zaynedit zayne,POSITIVE,0.6726580262184143
wish see zayne smile often zayne zaynedit zayneloveanddeepspace foryou edits misterloverlover otomegame,wish see zayne smile often zayne zaynedit zayneloveanddeepspace foryou edits misterloverlover otomegame,NEGATIVE,0.7183806300163269
thank god safe zayne drzayne lnds lndsea loveanddeepspace,thank god safe zayne drzayne lnds lndsea loveanddeepspace,NEGATIVE,0.6792050004005432
zayne since post zayne edit zayne zayneloveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters lishen fyppppppppppppppppppppppp foryou edits fyp,zayne since post zayne edit zayne zayneloveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters lishen fyppppppppppppppppppppppp foryou edits fyp,NEGATIVE,0.9622692465782166
anime expo loveanddeepspace cosplayer fyp fyp sylus zayne,anime expo loveanddeepspace cosplayer fyp fyp sylus zayne,NEGATIVE,0.939720869064331
loveanddeepspace zayne loveanddeepspaceedit handsomeboy fyp cosplay,loveanddeepspace zayne loveanddeepspaceedit handsomeboy fyp cosplay,POSITIVE,0.9692729711532593
zayneloveanddeepspace loveanddeepspacezayne loveanddeepspace,zayneloveanddeepspace loveanddeepspacezayne loveanddeepspace,POSITIVE,0.6192010045051575
zayne touchloveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters zayne cosplayer cosplay fyp fypage foryou handsome,zayne touchloveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters zayne cosplayer cosplay fyp fypage foryou handsome,POSITIVE,0.987076461315155
zayne cosplayer laochen loveanddeepspace,zayne cosplayer laochen loveanddeepspace,NEGATIVE,0.9208366274833679
li shens many outfits zayneloveanddeepspace loveanddeepspacezayne loveanddeepspace,li shens many outfits zayneloveanddeepspace loveanddeepspacezayne loveanddeepspace,POSITIVE,0.9777616262435913
zayne loveanddeepspace fyp zayne,zayne loveanddeepspace fyp zayne,POSITIVE,0.892337441444397
zaynecosplay zayne fyp zaynedit loveanddeepspace hanfu,zaynecosplay zayne fyp zaynedit loveanddeepspace hanfu,NEGATIVE,0.9390321373939514
zayne loveanddeepspace zayne zaynedit fyp,zayne loveanddeepspace zayne zaynedit fyp,POSITIVE,0.5573906898498535
drzayne loveanddeepspace zayne zaynedit fyp,drzayne loveanddeepspace zayne zaynedit fyp,NEGATIVE,0.7901479601860046
zayne cosplayer laochen loveanddeepspace,zayne cosplayer laochen loveanddeepspace,NEGATIVE,0.9208366274833679
loveanddeepspacezayne loveanddeepspaceedit loveanddeepspace zayne zayneedit handsome china,loveanddeepspacezayne loveanddeepspaceedit loveanddeepspace zayne zayneedit handsome china,POSITIVE,0.996626615524292
lucu bgt ada bebeknya roblox gunungslamet mountslamet robloxfyp capcut,lucu bgt ada bebeknya roblox gunungslamet mountslamet robloxfyp capcut,NEGATIVE,0.9915550351142883
kitty zayne best cosplay loveanddeepspaceedit zayne loveanddeepspacezayne fyp anime zaynedit cos cosplay,kitty zayne best cosplay loveanddeepspaceedit zayne loveanddeepspacezayne fyp anime zaynedit cos cosplay,POSITIVE,0.9889390468597412
cosplay zayne loveanddeepspace,cosplay zayne loveanddeepspace,POSITIVE,0.9328898191452026
anime expo zayne loveanddeepspace zayne zaynedit fyp,anime expo zayne loveanddeepspace zayne zaynedit fyp,NEGATIVE,0.9045252799987793
zayne cosplayer,zayne cosplayer,POSITIVE,0.9930493831634521
kitty zayne loveanddeepspace zayne zaynedit touch fyp handsome zaynecosplay,kitty zayne loveanddeepspace zayne zaynedit touch fyp handsome zaynecosplay,POSITIVE,0.9936291575431824
loveanddeepspace zayne loveanddeepspaceedit fyp zaynedit,loveanddeepspace zayne loveanddeepspaceedit fyp zaynedit,POSITIVE,0.8943321108818054
ooc,ooc,POSITIVE,0.983847439289093
happy chinese new year loveanddeepspace zayne caleb fyp handsome china,happy chinese new year loveanddeepspace zayne caleb fyp handsome china,POSITIVE,0.9996190071105957
zayne sylus loveanddeepspace cosplayer sylus zayne fyp,zayne sylus loveanddeepspace cosplayer sylus zayne fyp,NEGATIVE,0.6616414785385132
loveanddeepspace foryou fyp zayne cosplayer cosplay,loveanddeepspace foryou fyp zayne cosplayer cosplay,POSITIVE,0.9819812178611755
loveanddeepspace zayne zaynedit fyp,loveanddeepspace zayne zaynedit fyp,POSITIVE,0.9719457626342773
loveandpeace loveanddeepspacechina zayne,loveandpeace loveanddeepspacechina zayne,POSITIVE,0.8654302954673767
loveanddeepspace zaynecosplayzayne zaynedit fyp,loveanddeepspace zaynecosplayzayne zaynedit fyp,POSITIVE,0.9042062759399414
ooc tiktok tiktok creators,ooc tiktok tiktok creators,NEGATIVE,0.825324296951294
loveanddeepspace zayne zaynedit zaynecosplay fyp loveanddeepspaceedit,loveanddeepspace zayne zaynedit zaynecosplay fyp loveanddeepspaceedit,NEGATIVE,0.684766948223114
loveanddeepspace zayne zaynedit loveanddeepspaceedit fyp,loveanddeepspace zayne zaynedit loveanddeepspaceedit fyp,POSITIVE,0.8449187278747559
loveanddeepspace sylus zayne sylusedit zaynedit fyp,loveanddeepspace sylus zayne sylusedit zaynedit fyp,POSITIVE,0.6752815842628479
sylus zayne anime expo loveanddeepspace sylus zayne sylusedit zaynedit handsomefyp loveanddeepspaceedit,sylus zayne anime expo loveanddeepspace sylus zayne sylusedit zaynedit handsomefyp loveanddeepspaceedit,NEGATIVE,0.9277047514915466
zayne,zayne,POSITIVE,0.996190071105957
loveanddeepspace loveanddeepspace sylus rafayel zayne xavier,loveanddeepspace loveanddeepspace sylus rafayel zayne xavier,POSITIVE,0.9920280575752258
zayne tropes loveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters zayne zayneloveanddeepspace lishen lishenloveanddeepspace fyp foryoupage xyzbcafyp,zayne tropes loveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters zayne zayneloveanddeepspace lishen lishenloveanddeepspace fyp foryoupage xyzbcafyp,POSITIVE,0.7339568734169006
fav virgo man probably zayne zaynedit zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit,fav virgo man probably zayne zaynedit zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit,NEGATIVE,0.9103647470474243
zayne everlasting wish loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne zayneloveanddeepspace otome otomegame datingsim,zayne everlasting wish loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne zayneloveanddeepspace otome otomegame datingsim,NEGATIVE,0.9066091775894165
zayne girlies ones bestselling affinity rings didnt happen overnight went many trials mistakes total doovers get every single detail right zayne perfect watch journeyand tell us comments get right zayne loveanddeepspace gameinspiredjewelry jewelryforgamers cosplay velnicstudio zaynegirlies,zayne girlies ones bestselling affinity rings didnt happen overnight went many trials mistakes total doovers get every single detail right zayne perfect watch journeyand tell us comments get right zayne loveanddeepspace gameinspiredjewelry jewelryforgamers cosplay velnicstudio zaynegirlies,NEGATIVE,0.8273435235023499
ooc,ooc,POSITIVE,0.983847439289093
zayne loveanddeepspace zayne handsome fyp fyp donghua,zayne loveanddeepspace zayne handsome fyp fyp donghua,POSITIVE,0.9961792230606079
deep eyeloveanddeepspace zayne fyp foryou musica,deep eyeloveanddeepspace zayne fyp foryou musica,POSITIVE,0.9862143397331238
loveanddeepspace loveanddeepspace sylus rafayel zayne xavier,loveanddeepspace loveanddeepspace sylus rafayel zayne xavier,POSITIVE,0.9920280575752258
zayne miss bby zayne zayneloveanddeepspace zaynedits lishen edits foryou fyp loveanddeepspacecharacters loveanddeepspacezayne,zayne miss bby zayne zayneloveanddeepspace zaynedits lishen edits foryou fyp loveanddeepspacecharacters loveanddeepspacezayne,NEGATIVE,0.9012096524238586
doctor zayne loveanddeepspace touch zaynedit fyp loveanddeepspaceedit,doctor zayne loveanddeepspace touch zaynedit fyp loveanddeepspaceedit,POSITIVE,0.9909085631370544
cute zayne loveanddeepspace touch zayne zaynedit fyp,cute zayne loveanddeepspace touch zayne zaynedit fyp,POSITIVE,0.999238133430481
pov zayne going home mc rawrrrrr zayne loveanddeepspace loveanddeepspaceedit fyp xyzbca pov,pov zayne going home mc rawrrrrr zayne loveanddeepspace loveanddeepspaceedit fyp xyzbca pov,POSITIVE,0.9076563119888306
im already cursed zayne zaynedit zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit otomegame,im already cursed zayne zaynedit zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit otomegame,NEGATIVE,0.9813452363014221
zayne animation xhs zaynedit zayne zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit,zayne animation xhs zaynedit zayne zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit,POSITIVE,0.6442269682884216
ive constantly listening song thought zaynes master fate zayne lishen loveanddeepspace loveanddeepspaceedit loveanddeespacecharacters loveanddeepspacezayne zayneloveanddeepspace lishenloveanddeepspace fyppppppppppppppppppppppp fypviral foryoupage otome foryou xiaohongshu capcut zayneedit,ive constantly listening song thought zaynes master fate zayne lishen loveanddeepspace loveanddeepspaceedit loveanddeespacecharacters loveanddeepspacezayne zayneloveanddeepspace lishenloveanddeepspace fyppppppppppppppppppppppp fypviral foryoupage otome foryou xiaohongshu capcut zayneedit,POSITIVE,0.7842831015586853
zayne wish doctor loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne zayneloveanddeepspace zayneedit lads ladsedit ladszayne edit edits fyp fyp fypage lishenloveanddeepspace lishen,zayne wish doctor loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne zayneloveanddeepspace zayneedit lads ladsedit ladszayne edit edits fyp fyp fypage lishenloveanddeepspace lishen,NEGATIVE,0.9081162810325623
lv175 freeze relax time zayne en zayne loveanddeepspace,lv175 freeze relax time zayne en zayne loveanddeepspace,POSITIVE,0.8925402164459229
try stay awake audio ib gracemon2oe zayne zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit dawnbreaker dawnbreakerzayne,try stay awake audio ib gracemon2oe zayne zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit dawnbreaker dawnbreakerzayne,NEGATIVE,0.7804625630378723
love zayne loveanddeepspace zayneloveanddeepspace fypviral fyp fyp,love zayne loveanddeepspace zayneloveanddeepspace fypviral fyp fyp,POSITIVE,0.9361326694488525
zaynes secret loveanddeepspace zayne zaynedit fyp,zaynes secret loveanddeepspace zayne zaynedit fyp,POSITIVE,0.9892515540122986
loveanddeepspace zayne masteroffate fyp,loveanddeepspace zayne masteroffate fyp,POSITIVE,0.9733707308769226
ep2 5cm10cm loveanddeepspace rafayel rafayelloveanddeepspace zayne zayneloveanddeepspace xavier xavierloveanddeepspace sylus sylusloveanddeepspace caleb calebloveanddeepspace goods gamemerch fyp pourtoi,ep2 5cm10cm loveanddeepspace rafayel rafayelloveanddeepspace zayne zayneloveanddeepspace xavier xavierloveanddeepspace sylus sylusloveanddeepspace caleb calebloveanddeepspace goods gamemerch fyp pourtoi,NEGATIVE,0.8790149092674255
tears dawnbreaker eyes lishen zaynee zayne zayneloveanddeepspace loveanddeepspace forupage fypage fypviral fypage,tears dawnbreaker eyes lishen zaynee zayne zayneloveanddeepspace loveanddeepspace forupage fypage fypviral fypage,POSITIVE,0.7552961707115173
know straight student well behaved kiddo like imagine style point life zayne loveanddeepspace zayneloveanddeepspace capcut,know straight student well behaved kiddo like imagine style point life zayne loveanddeepspace zayneloveanddeepspace capcut,POSITIVE,0.788989245891571
finally held hand loveanddeepspace zayne zaynecosplay lishen lnd cosplayer mc fyp zxycba mcloveanddeepspace zaynemasteroffate cascadingbreeze cos,finally held hand loveanddeepspace zayne zaynecosplay lishen lnd cosplayer mc fyp zxycba mcloveanddeepspace zaynemasteroffate cascadingbreeze cos,POSITIVE,0.9079098701477051
teacher im sorry way concentrate studiesloveanddeepspace fyp foryou zayne funny,teacher im sorry way concentrate studiesloveanddeepspace fyp foryou zayne funny,NEGATIVE,0.9923040270805359
im back zayne kitty zayne loveanddeepspace zayneloveanddeepspace zaynecosplay cosplay lilycosuniverse,im back zayne kitty zayne loveanddeepspace zayneloveanddeepspace zaynecosplay cosplay lilycosuniverse,NEGATIVE,0.9193388223648071
zayne lishen zaynee forupage fypviral fypage fypage loveanddeepspace,zayne lishen zaynee forupage fypviral fypage fypage loveanddeepspace,NEGATIVE,0.8809049129486084
ooc,ooc,POSITIVE,0.983847439289093
lv175 freeze relax time zayne jp zayne loveanddeepspace,lv175 freeze relax time zayne jp zayne loveanddeepspace,POSITIVE,0.670708954334259
sylus zaynesylus zayne loveanddeepspace fyp fyp cosplayer cosplay handsomeboy animeedit,sylus zaynesylus zayne loveanddeepspace fyp fyp cosplayer cosplay handsomeboy animeedit,NEGATIVE,0.961811363697052
loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne zayne zayneloveanddeepspace,loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne zayne zayneloveanddeepspace,POSITIVE,0.9457714557647705
zaynewhy xavier loveanddeepspace zayne zaynedit fyp touch,zaynewhy xavier loveanddeepspace zayne zaynedit fyp touch,POSITIVE,0.9711148142814636
inspired lilith aka younglingslayer3000 loveanddeepspace xavier rafayel zayne sylus sylusabysmsovereign fyp,inspired lilith aka younglingslayer3000 loveanddeepspace xavier rafayel zayne sylus sylusabysmsovereign fyp,NEGATIVE,0.9140496850013733
titik2c 195cm coser loveanddeepspace sylus zayne loveanddeepspaceedit fyp cosplay,titik2c 195cm coser loveanddeepspace sylus zayne loveanddeepspaceedit fyp cosplay,NEGATIVE,0.9728450179100037
zayne life private knows zayne husband zayne zayne zayneloveanddeepspace loveanddeepspace loveanddeepspacecharacters loveanddeepspaceedit zayneedit lishen fyp edits foryoupage fyppppppppppppppppppppppp,zayne life private knows zayne husband zayne zayne zayneloveanddeepspace loveanddeepspace loveanddeepspacecharacters loveanddeepspaceedit zayneedit lishen fyp edits foryoupage fyppppppppppppppppppppppp,NEGATIVE,0.6879909634590149
cryinggg fypage fypage fypviral forupage loveanddeepspace lishen zaynee zayne,cryinggg fypage fypage fypviral forupage loveanddeepspace lishen zaynee zayne,NEGATIVE,0.9701015949249268
loveanddeepspace snowman lnds zayne mc lishen loveanddeepspacecosplay cos masteroffate cascadingbreeze zaynemasteroffate cosplay,loveanddeepspace snowman lnds zayne mc lishen loveanddeepspacecosplay cos masteroffate cascadingbreeze zaynemasteroffate cosplay,POSITIVE,0.8728564381599426
fyp unboxing loveanddeepspace zayne,fyp unboxing loveanddeepspace zayne,POSITIVE,0.9596406817436218
