"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@bobaaamilk04","false","UgwIRq13DwTSLMIBrPR4AaABAg","infold pls restuin q dgn ayel","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","22 hours ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@sy93xx56","false","Ugy1AetoJPknKCL6IEt4AaABAg","I keep coming back to this 😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 day ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@airitodoroki5114","false","UgzYG00-bfJ9HKvXEfV4AaABAg","""Put this on Spotify pleaseeeee"" 
Me who uses Youtube Music cannot relate. :')","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 day ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","2"
"@ghostdrargon9202","false","Ugw59mRgooM9qphUl7N4AaABAg","Si have you considered Spotify","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 days ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@mawquewee","false","UgzQEzmNGsObysbZk2t4AaABAg","still waiting for a spotify release pleaseee","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 days ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@michellesutedja2173","false","Ugz5CXwf--nMTV0SmqV4AaABAg","KAPAN RILIS DISPOTIFY WOYYY😭😭😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 days ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@lesliechuliao578","false","Ugwe6IvCfnzDLeGmDB14AaABAg","Omy i've been looking for this song.. Love it","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 days ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@ilypossessivecaleb","false","UgzL-r8m7lnSUO96VxF4AaABAg","AHHHHH I NEED THIS ON SPOTIFYYYYYYYYY","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","6 days ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","2"
"@acorn96","false","UgxZQUp_gBw79ZJpUd54AaABAg","Spring and Flowers | Spring Event Soundtrack | 2025 | Love and DeepSpace
https://youtu.be/HnldzckRG0E","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","7 days ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@starsxboysworld8042","false","UgwUudnBlAtXApL-hkd4AaABAg","Went on spotify searching for this song and it's not there. this is so sick...","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","8 days ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","2"
