author,authorIsChannelOwner,cid,comment,commentsCount,hasCreatorHeart,pageUrl,publishedTimeText,replyCount,replyToCid,title,type,videoId,voteCount,sentiment,sentiment_confidence
@bobaaamilk04,False,UgwIRq13DwTSLMIBrPR4AaABAg,infold pls restuin q dgn ayel,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,22 hours ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.9730119109153748
@sy93xx56,False,Ugy1AetoJPknKCL6IEt4AaABAg,I keep coming back to this 😭,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 day ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.9978569149971008
@airitodoroki5114,False,UgzYG00-bfJ9HKvXEfV4AaABAg,"""Put this on Spotify pleaseeeee"" 
Me who uses Youtube Music cannot relate. :')",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 day ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,NEGATIVE,0.9930022358894348
@ghostdrargon9202,False,Ugw59mRgooM9qphUl7N4AaABAg,Si have you considered Spotify,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9726390242576599
@mawquewee,False,UgzQEzmNGsObysbZk2t4AaABAg,still waiting for a spotify release pleaseee,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.7321446537971497
@michellesutedja2173,False,Ugz5CXwf--nMTV0SmqV4AaABAg,KAPAN RILIS DISPOTIFY WOYYY😭😭😭,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.9973481893539429
@lesliechuliao578,False,Ugwe6IvCfnzDLeGmDB14AaABAg,Omy i've been looking for this song.. Love it,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9988419413566589
@ilypossessivecaleb,False,UgzL-r8m7lnSUO96VxF4AaABAg,AHHHHH I NEED THIS ON SPOTIFYYYYYYYYY,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,6 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,NEGATIVE,0.99118971824646
@acorn96,False,UgxZQUp_gBw79ZJpUd54AaABAg,"Spring and Flowers | Spring Event Soundtrack | 2025 | Love and DeepSpace
https://youtu.be/HnldzckRG0E",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,7 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9993984699249268
@starsxboysworld8042,False,UgwUudnBlAtXApL-hkd4AaABAg,Went on spotify searching for this song and it's not there. this is so sick...,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,8 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,NEGATIVE,0.9980541467666626
@aveezbesimpin,False,Ugw59vfz6JrAhVICZwp4AaABAg,PLS HAVE THIS ONNSPOTIFY.. I BEG,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,9 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,NEGATIVE,0.9894970655441284
@aliffias,False,Ugx-M2fXeeKfHwkKrFB4AaABAg,"Aku sanggup jika harus memutar lagu ini sebulan penuh, lagu nya begitu indah begitu juga liriknya, aku suka semuaa ❤❤❤❤❤❤",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,12 days ago (edited),0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.8453053832054138
@AYC_kaymer,False,UgyCWh6ODH9k2K-HRG94AaABAg,I'm guessing this is going to be on the second album since they haven't released it yet.,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,12 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.9729113578796387
@zenstar4753,False,UgzSFtLcDwE9NeDpE1N4AaABAg,"add this in spotify please and the instrumental version too. thank you!
i can imagine mc singing this, sylus on piano, caleb on drums, xavier and zayne on guitar, and rafayel the one who sponsor everything.",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,13 days ago,1,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,7,POSITIVE,0.9972743391990662
@angelaselene2987,False,UgxD0RVo2e2DwNiobDJ4AaABAg,Love the song.,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,13 days ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9998782873153687
@Moony_luv,False,UgyaQuJqNApRTra3a7R4AaABAg,I LOVE THIS SOGN MAKES ME FEEL WARM AND FUZZY,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,POSITIVE,0.9998799562454224
@liltitle93,False,UgyEbVP3sWCB9Lg_FqZ4AaABAg,I need this on spotify!!!!,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9466119408607483
@LadyTropium-f8d,False,UgzElprueR7N3KuSudt4AaABAg,Cepetan rilis global 😢,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9946464896202087
@Yunniiaa_,False,Ugwl76KFn9rhDZBjSzx4AaABAg,Suka banget sama lagu ini😭😭🫵,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9955043196678162
@vievon9244,False,UgyPVsZl260E_uncTMl4AaABAg,This song feels like tinkerbell! In a good way btw ❤,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9995142221450806
@eqvwey,False,UgzSFtLcDwE9NeDpE1N4AaABAg.AIwN5h1gQ9zAIxBYmRVTh7,xavier on piano bcuz silvery polyphony exists,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,12 days ago,0,UgzSFtLcDwE9NeDpE1N4AaABAg,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,reply,xMR9tY3XfaY,2,POSITIVE,0.97240149974823
